	I	io
	iva	IVA
	sepa	SEPA
	UE	EU
	iban	IBAN
	Ri.Ba.	RiBA
	Ri.Ba	RiBA
	RI.BA.	RiBA
	DDT	DdT
	ddt	DdT
	Ri.Ba.	RiBA
	Ri.Ba	RiBA
account	Base	Riferimento
account	Litigation	Aperto
account_fiscal_year_closing	Balance	Saldo
account_fiscal_year_closing	Load template	Caricare modello
account_fiscal_year_closing	Result	Risultato di esercizio
account_gopher	Advisor	Professionista
account_vat_period_end_statement	Total Credit	Totale a credito
contract_recurring_invoice_analytic	Running	Esecuzione
contract_recurring_invoice_analytic	Stage	Stato
l10n_it_account	Base	Base imponibile
l10n_it_base	State	Provincia
l10n_it_ddt	Size	Volume
l10n_it_ddt	State	Stato
l10n_it_ddt	Subtotal	Totale riga
l10n_it_einvoice_base	Reception	Ricezione fattura PA
l10n_it_ricevute_bancarie	Issued	Presentata
l10n_it_ricevute_bancarie	Please define a Settlement journal	Definire il sezionale di conferma incasso
l10n_it_ricevute_bancarie	Settlement	Conferma incasso
l10n_it_ricevute_bancarie	debit	dare
l10n_it_ricevute_bancarie	credit	avere
l10n_it_ricevute_bancarie	Settlement (debit / credit)	conferma incasso (dare / avere)
l10n_it_ricevute_bancarie	Settlement credit account	Conto avere conferma incasso
l10n_it_ricevute_bancarie	Settlement debit account	Conto dare conferma incasso
l10n_it_ricevute_bancarie	Settlements	Conferma pagamenti
l10n_it_ricevute_bancarie	State	Stato
l10n_it_ricevute_bancarie	To Issue	Emissione
l10n_it_vat_statement_communication	Date commitment	Data dell'impegno
repair	Responsible User	Responsabile tecnico
sale	Delivered	Consegnato
sale_revert_done	Back to Sale	Sblocca ordine
sale_revert_done	Order	Ordine/i non può/possono essere sbloccato/i in quanto non bloccati
sale_revert_done	are not in state "done" so they cannot be reset from "done" back to "sale"	
sale_revert_done	Order(s) are not in state "done" so they cannot be reset from "done" back to "sale": %s	ordine/i non può/possono essere sbloccato/i in quanto non bloccati: %s
stock_picking_package_preparation	State	Stato
stock_picking_package_preparation_line	State	Stato
	_Import	_Importa
	domain	dominio
	- domain =	- dominio =
	field	campo
	- field =	- campo =
	- groups =	- gruppi =
	- ondelete =	- ondelete =
	- relation =	- Relazione =
	- selection =	- Selezione =
	size	dimensione
	- size =	- dimensione =
	This module does not create menu	Questo modulo non crea menù
	-This module does not create menu	- Questo modulo non crea menù
	This module does not create report	Questo modulo non crea rapporti
	-This module does not create report	- Questo modulo non crea rapporti
	This module does not create views	Questo modulo non crea viste
	-This module does not create views	- Questo modulo non crea viste
	This module does not depends on any other module	Questo modulo non dipende da alcun altro modulo
	-This module does not depends on any other module	- Questo modulo non dipende da alcun altro modulo
	This module does not exclude any other module	Questo modulo non esclude nessun altro modulo
	-This module does not exclude any other module	- Questo modulo non esclude nessun altro modulo
	or your preferred text editor	o il vostro editor di testi preferito
	, or your preferred text editor	, o il vostro editor di testi preferito
	readonly	sola lettura
	, readonly	, sola lettura
	required	obbligatorio
	, required	, obbligatorio
	does not seem to be a number for field '	non sempre essere un numero valido per il campo '
	s'	s"
	'%s' does not seem to be a number for field '%%(field)s'	'%s' non sempre essere un numero valido per il campo '%%(field)s'
	does not seem to be a valid date for field '	non sembra essere una data valida per il campo "
	'%s' does not seem to be a valid date for field '%%(field)s'	"%s" non sembra essere una data valida per il campo "%%(field)s"
	does not seem to be a valid datetime for field '	non sembra essere una data/ora valida per il campo "
	'%s' does not seem to be a valid datetime for field '%%(field)s'	"%s" non sembra essere una data/ora valida per il campo "%%(field)s"
	does not seem to be an integer for field '	non sembra essere un campo intero "
	'%s' does not seem to be an integer for field '%%(field)s'	"%s" non sembra essere un campo intero "%%(field)s"
	is not a correct date	non è una data corretta e neppure orario
	datetime nor time	
	'%s' is not a correct date, datetime nor time	"%s" non è una data corretta e neppure orario
	is not convertible to date	non è convertibile in una data
	'%s' is not convertible to date, datetime nor time	"%s" non è convertibile in una data, data/ora o orario
	keep empty for invoicing all the settlements	lasciare vuoto per fatturare tutte le provvigioni
	(keep empty for invoicing all the settlements)	(lasciare vuoto per fatturare tutte le provvigioni)
	keep empty for making the settlement of all agents	lasciare vuoto per creare provvigioni per tutti gli agenti
	(keep empty for making the settlement of all agents)	(lasciare vuoto per creare provvigioni per tutti gli agenti)
	no string	senza testo
	(no string)	(senza testo)
	nolabel	senza etichetta
	(nolabel)	(senza etichetta)
	blue'	blu'
	yellow'	giallo'
	[('blue', 'Blue'),('yellow', 'Yellow')]	[('blu', 'Blu'),('giallo', 'Giallo')]
	Be sure that an Outgoing Email Server is correctly configured	Verificare che il server di posta per invio sia correttamente configurato
	* Be sure that an Outgoing Email Server is correctly configured;	* Verificare che il server di posta per invio sia correttamente configurato;
	N.of bonus invoices	N. fatture bonus/malus
	N.of Digits	N. di cifre
	N.of invoices available	N. fatture a disposizione
	N.of Items	N. di voci
	Abbreviated weekday name	Nome abbreviato giorno della settimana
	%a - Abbreviated weekday name	%a - Nome abbreviato giorno della settimana
	Full weekday name	Nome completo giorno della settimana
	%A - Full weekday name	%A - Nome completo giorno della settimana
	Abbreviated month name	Nome abbreviato del mese
	%b - Abbreviated month name	%b - Nome abbreviato del mese
	Full month name	Nome completo del mese
	%B - Full month name."	%B - Nome completo del mese."
	Day of the month	Giorno del mese
	%d - Day of the month [01,31]."	%d - Giorno del mese [01,31]."
	Hour	Ora
	hour clock	ore
	%H - Hour (24-hour clock) [00,23]."	%H - Ora (24 ore) [00,23]."
	%I - Hour (12-hour clock) [01,12]."	%I - Ora (12 ore) [01,12]."
	Day of the year	Giorno dell'anno
	%j - Day of the year [001,366]."	%j - Giorno dell'anno [001,366]."
	Minute	Minuto
	%M - Minute [00,59]."	%M - Minuto [00,59]."
	Month number	Numero mese
	%m - Month number [01,12]."	%m - Numero mese [01,12]."
	Equivalent of either AM or PM."	Equivalenti di AM o PM."
	%p - Equivalent of either AM or PM."	%p - Equivalenti di AM o PM."
	Seconds	Secondi
	%S - Seconds [00,61]."	%S - Secondi [00,61]."
	copy	copia
	%s (copy)	%s (copia)
	commission agents	provvigione agenti
	%s commission agents	%s provvigione agenti
	partners have no credits and as such the action is cleared	Non risultano crediti per i soggetti
	%s partners have no credits and as such the action is cleared	Non risultano crediti per i soggetti %s  e l'azione non è stata eseguita
	Weekday number	Giorno della settimana
	Sunday	Domenica
	%w - Weekday number [0(Sunday),6]."	%w - Giorno della settimana [0(Domenica),6]."
	Year with century	Anno con secolo
	%Y - Year with century."	%Y - Anno con secolo."
	Year without century	Anno senza secolo
